msg_type,repeat,mmsi,year,month,day,hour,minute,second,accuracy,lon,lat,epfd,spare,raim,radio,time,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,draught,destination,dte,status,turn,speed,course,heading,maneuver,reserved,reserved_2,cs,display,dsc,band,msg22,assigned,dac,fid,data,aid_type,name,off_position,regional,virtual_aid,name_ext,offset1,number1,timeout1,increment1,offset2,number2,timeout2,increment2,offset3,number3,timeout3,increment3,offset4,number4,timeout4,increment4,partno,spare_1,vendorid,model,serial,spare_2
4,0,002766160-A-4,2022,9,7,11,0,19,0,25.500053,59.645888,0,0,FALSE,164600,1662517820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276007420-A-18,,,,,,20,1,24.759098,59.557737,,,TRUE,22016,1662517821,,,,,,,,,,,,,,,23.3,353.7,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276538000-B-1-UnderWayUsingEngine,,,,,,19,0,24.713998,59.462525,,0,FALSE,22016,1662517821,,,,,,,,,,,,,0,-128,0,0,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276385000-A-1-UnderWayUsingEngine,,,,,,20,1,24.814517,59.498958,,0,TRUE,33563,1662517821,,,,,,,,,,,,,0,0,0,80.8,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276813000-A-3-Moored,,,,,,19,1,24.76287,59.445528,,0,FALSE,0,1662517821,,,,,,,,,,,,,5,0,0,233,233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276003580-A-1-UnderWayUsingEngine,,,,,,20,1,24.669497,59.451382,,0,FALSE,22016,1662517821,,,,,,,,,,,,,0,0,0,134.6,166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276643000-A-1-EngagedInFishing,,,,,,21,1,24.347202,59.573613,,0,TRUE,33572,1662517821,,,,,,,,,,,,,7,-128,1.3,275.6,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276329000-B-3-Moored,,,,,,20,0,24.739532,59.454383,,0,FALSE,84746,1662517822,,,,,,,,,,,,,5,0,0,179.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,276853000-B-5,,10,6,22,30,,,,,1,FALSE,,,1662517822,0,8911437,ESLN,RANDI,30,30,8,4,4,4.4,MIIDURANNA,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276010780-B-18,,,,,,22,0,24.826307,59.467853,,,FALSE,917510,1662517822,,,,,,,,,,,,,,,0,0,28,,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276835000-A-1-UnderWayUsingEngine,,,,,,21,0,24.70914,59.459542,,0,FALSE,245847,1662517822,,,,,,,,,,,,,0,-127,0.1,93,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276841000-B-1-UnderWayUsingEngine,,,,,,22,0,24.814323,59.499153,,0,FALSE,2228,1662517823,,,,,,,,,,,,,0,0,0,177.2,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-A-3-RestrictedManoeuverability,,,,,,22,1,24.319918,59.542245,,0,TRUE,3824,1662517823,,,,,,,,,,,,,3,-127,11.5,173.2,170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,232033027-B-3-Moored,,,,,,24,0,24.94599,59.495628,,0,FALSE,84058,1662517823,,,,,,,,,,,,,5,0,0,150.4,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,002766140-B-20,,,,,,,,,,,0,,,1662517823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7,1125,1498,1,7,250,0,,,,,,,,,,,,,
1,0,276785000-A-1-UnderWayUsingEngine,,,,,,23,1,24.341433,59.57022,,0,TRUE,82008,1662517824,,,,,,,,,,,,,0,-128,7.9,122.9,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276853000-B-1-UnderWayUsingEngine,,,,,,23,1,24.81479,59.498563,,0,FALSE,33677,1662517824,,,,,,,,,,,,,0,0,0,257.8,327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,209968000-B-3-Moored,,,,,,22,1,24.702278,59.456367,,0,FALSE,84586,1662517824,,,,,,,,,,,,,5,0,0,303.4,238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276001840-A-1-Undefined,,,,,,60,0,24.814023,59.499362,,0,TRUE,159984,1662517825,,,,,,,,,,,,,15,-128,0,248.1,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,276010830-B-24,,,,,,,,,,,,,,1662517825,,,,ETTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
1,0,309175000-A-1-UnderWayUsingEngine,,,,,,24,1,24.69262,59.693122,,0,TRUE,49252,1662517825,,,,,,,,,,,,,0,27,8.7,134.3,129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276432000-B-1-UnderWayUsingEngine,,,,,,23,1,24.719743,59.45774,,0,FALSE,99247,1662517825,,,,,,,,,,,,,0,0,0,127,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276636000-A-1-UnderWaySailing,,,,,,24,0,24.71005,59.460083,,0,FALSE,22016,1662517826,,,,,,,,,,,,,8,0,1,82.5,313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-B-3-RestrictedManoeuverability,,,,,,25,1,24.319955,59.542082,,0,TRUE,4433,1662517826,,,,,,,,,,,,,3,0,12,174.4,170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276260000-B-1-UnderWayUsingEngine,,,,,,24,0,24.714105,59.462693,,0,FALSE,22016,1662517826,,,,,,,,,,,,,0,0,0,7.7,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276005280-B-1-UnderWayUsingEngine,,,,,,25,0,24.669645,59.451767,,0,FALSE,33733,1662517826,,,,,,,,,,,,,0,0,0,210.9,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276007420-B-18,,,,,,25,1,24.75899,59.558273,,,TRUE,99282,1662517826,,,,,,,,,,,,,,,23.3,355.7,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276702000-A-1-UnderWayUsingEngine,,,,,,26,1,24.793678,59.558578,,0,FALSE,33766,1662517827,,,,,,,,,,,,,0,-128,0.1,82,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276787000-B-1-UnderWayUsingEngine,,,,,,26,0,24.67137,59.451513,,0,FALSE,66549,1662517827,,,,,,,,,,,,,0,-128,0,333.6,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,312771000-A-5,,7,17,6,0,,,,,1,FALSE,,,1662517828,0,738291400,V3YK5,SIGHVATUR BJARNASON,30,36,33,3,7,5.1,TALLINN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276781000-A-3-Moored,,,,,,26,1,24.720032,59.457922,,0,FALSE,0,1662517829,,,,,,,,,,,,,5,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276829000-A-1-UnderWayUsingEngine,,,,,,27,1,24.729725,59.665602,,2,FALSE,33844,1662517829,,,,,,,,,,,,,0,0,22.2,22.4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276675000-B-1-UnderWayUsingEngine,,,,,,0,0,24.793167,59.5585,,0,FALSE,33865,1662517829,,,,,,,,,,,,,0,0,0,269.5,281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-A-3-RestrictedManoeuverability,,,,,,29,1,24.31999,59.541858,,0,TRUE,0,1662517830,,,,,,,,,,,,,3,127,11.8,175.5,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
